timestamp_utc,run_id,scenario,iteration,workload,priority,slo_ms,success,error,selected_region,provider,scheduler_score,estimated_latency_ms,estimated_carbon_gco2,estimated_cost_usd,observed_end_to_end_ms,observed_slo_violation,worker_elapsed_ms,worker_cold_start,worker_simulated_delay_ms,alternatives_json
2026-05-26T04:18:36.234Z,20260526T041834Z,balanced_image_processing,1,image-compress,balanced,650,True,,gcp-us-central1,gcp,0.6763030303030303,122.0,0.078,2.0000000000000002e-07,128.88189998921007,False,80.88045099975716,False,80.0,"[{""region"":""gcp-us-central1"",""provider"":""gcp"",""score"":0.6763030303030303,""estimated_latency_ms"":122.0,""estimated_carbon_gco2"":0.078,""estimated_cost_usd"":2.0000000000000002e-07,""slo_violation_risk"":false,""components"":{""latency"":0.44363636363636366,""carbon"":1.0,""cost"":0.8,""cold_start"":0.6666666666666666}},{""region"":""azure-westus"",""provider"":""azure"",""score"":0.6987878787878788,""estimated_latency_ms"":177.5,""estimated_carbon_gco2"":0.039,""estimated_cost_usd"":2.5e-07,""slo_violation_risk"":false,""components"":{""latency"":0.6454545454545455,""carbon"":0.5,""cost"":1.0,""cold_start"":0.8333333333333334}},{""region"":""aws-us-east-1"",""provider"":""aws"",""score"":0.7316608391608391,""estimated_latency_ms"":158.0,""estimated_carbon_gco2"":0.06149999999999999,""estimated_cost_usd"":2.2e-07,""slo_violation_risk"":false,""components"":{""latency"":0.5745454545454546,""carbon"":0.7884615384615384,""cost"":0.88,""cold_start"":1.0}}]"
2026-05-26T04:18:36.319Z,20260526T041834Z,balanced_image_processing,2,image-compress,balanced,650,True,,gcp-us-central1,gcp,0.6763030303030303,122.0,0.078,2.0000000000000002e-07,106.80629999842495,False,80.38804199986771,False,80.0,"[{""region"":""gcp-us-central1"",""provider"":""gcp"",""score"":0.6763030303030303,""estimated_latency_ms"":122.0,""estimated_carbon_gco2"":0.078,""estimated_cost_usd"":2.0000000000000002e-07,""slo_violation_risk"":false,""components"":{""latency"":0.44363636363636366,""carbon"":1.0,""cost"":0.8,""cold_start"":0.6666666666666666}},{""region"":""azure-westus"",""provider"":""azure"",""score"":0.6987878787878788,""estimated_latency_ms"":177.5,""estimated_carbon_gco2"":0.039,""estimated_cost_usd"":2.5e-07,""slo_violation_risk"":false,""components"":{""latency"":0.6454545454545455,""carbon"":0.5,""cost"":1.0,""cold_start"":0.8333333333333334}},{""region"":""aws-us-east-1"",""provider"":""aws"",""score"":0.7316608391608391,""estimated_latency_ms"":158.0,""estimated_carbon_gco2"":0.06149999999999999,""estimated_cost_usd"":2.2e-07,""slo_violation_risk"":false,""components"":{""latency"":0.5745454545454546,""carbon"":0.7884615384615384,""cost"":0.88,""cold_start"":1.0}}]"
2026-05-26T04:18:36.364Z,20260526T041834Z,balanced_image_processing,3,image-compress,balanced,650,True,,gcp-us-central1,gcp,0.6763030303030303,122.0,0.078,2.0000000000000002e-07,265.2130000060424,False,200.2602520005894,True,200.0,"[{""region"":""gcp-us-central1"",""provider"":""gcp"",""score"":0.6763030303030303,""estimated_latency_ms"":122.0,""estimated_carbon_gco2"":0.078,""estimated_cost_usd"":2.0000000000000002e-07,""slo_violation_risk"":false,""components"":{""latency"":0.44363636363636366,""carbon"":1.0,""cost"":0.8,""cold_start"":0.6666666666666666}},{""region"":""azure-westus"",""provider"":""azure"",""score"":0.6987878787878788,""estimated_latency_ms"":177.5,""estimated_carbon_gco2"":0.039,""estimated_cost_usd"":2.5e-07,""slo_violation_risk"":false,""components"":{""latency"":0.6454545454545455,""carbon"":0.5,""cost"":1.0,""cold_start"":0.8333333333333334}},{""region"":""aws-us-east-1"",""provider"":""aws"",""score"":0.7316608391608391,""estimated_latency_ms"":158.0,""estimated_carbon_gco2"":0.06149999999999999,""estimated_cost_usd"":2.2e-07,""slo_violation_risk"":false,""components"":{""latency"":0.5745454545454546,""carbon"":0.7884615384615384,""cost"":0.88,""cold_start"":1.0}}]"
2026-05-26T04:18:36.426Z,20260526T041834Z,balanced_image_processing,4,image-compress,balanced,650,True,,gcp-us-central1,gcp,0.6763030303030303,122.0,0.078,2.0000000000000002e-07,131.46620002225973,False,80.62217499991675,False,80.0,"[{""region"":""gcp-us-central1"",""provider"":""gcp"",""score"":0.6763030303030303,""estimated_latency_ms"":122.0,""estimated_carbon_gco2"":0.078,""estimated_cost_usd"":2.0000000000000002e-07,""slo_violation_risk"":false,""components"":{""latency"":0.44363636363636366,""carbon"":1.0,""cost"":0.8,""cold_start"":0.6666666666666666}},{""region"":""azure-westus"",""provider"":""azure"",""score"":0.6987878787878788,""estimated_latency_ms"":177.5,""estimated_carbon_gco2"":0.039,""estimated_cost_usd"":2.5e-07,""slo_violation_risk"":false,""components"":{""latency"":0.6454545454545455,""carbon"":0.5,""cost"":1.0,""cold_start"":0.8333333333333334}},{""region"":""aws-us-east-1"",""provider"":""aws"",""score"":0.7316608391608391,""estimated_latency_ms"":158.0,""estimated_carbon_gco2"":0.06149999999999999,""estimated_cost_usd"":2.2e-07,""slo_violation_risk"":false,""components"":{""latency"":0.5745454545454546,""carbon"":0.7884615384615384,""cost"":0.88,""cold_start"":1.0}}]"
2026-05-26T04:18:36.557Z,20260526T041834Z,balanced_image_processing,5,image-compress,balanced,650,True,,gcp-us-central1,gcp,0.6763030303030303,122.0,0.078,2.0000000000000002e-07,151.77749999566004,False,80.33110100041085,False,80.0,"[{""region"":""gcp-us-central1"",""provider"":""gcp"",""score"":0.6763030303030303,""estimated_latency_ms"":122.0,""estimated_carbon_gco2"":0.078,""estimated_cost_usd"":2.0000000000000002e-07,""slo_violation_risk"":false,""components"":{""latency"":0.44363636363636366,""carbon"":1.0,""cost"":0.8,""cold_start"":0.6666666666666666}},{""region"":""azure-westus"",""provider"":""azure"",""score"":0.6987878787878788,""estimated_latency_ms"":177.5,""estimated_carbon_gco2"":0.039,""estimated_cost_usd"":2.5e-07,""slo_violation_risk"":false,""components"":{""latency"":0.6454545454545455,""carbon"":0.5,""cost"":1.0,""cold_start"":0.8333333333333334}},{""region"":""aws-us-east-1"",""provider"":""aws"",""score"":0.7316608391608391,""estimated_latency_ms"":158.0,""estimated_carbon_gco2"":0.06149999999999999,""estimated_cost_usd"":2.2e-07,""slo_violation_risk"":false,""components"":{""latency"":0.5745454545454546,""carbon"":0.7884615384615384,""cost"":0.88,""cold_start"":1.0}}]"
2026-05-26T04:18:36.629Z,20260526T041834Z,balanced_image_processing,6,image-compress,balanced,650,True,,gcp-us-central1,gcp,0.6763030303030303,122.0,0.078,2.0000000000000002e-07,109.42880000220612,False,80.38219799982471,False,80.0,"[{""region"":""gcp-us-central1"",""provider"":""gcp"",""score"":0.6763030303030303,""estimated_latency_ms"":122.0,""estimated_carbon_gco2"":0.078,""estimated_cost_usd"":2.0000000000000002e-07,""slo_violation_risk"":false,""components"":{""latency"":0.44363636363636366,""carbon"":1.0,""cost"":0.8,""cold_start"":0.6666666666666666}},{""region"":""azure-westus"",""provider"":""azure"",""score"":0.6987878787878788,""estimated_latency_ms"":177.5,""estimated_carbon_gco2"":0.039,""estimated_cost_usd"":2.5e-07,""slo_violation_risk"":false,""components"":{""latency"":0.6454545454545455,""carbon"":0.5,""cost"":1.0,""cold_start"":0.8333333333333334}},{""region"":""aws-us-east-1"",""provider"":""aws"",""score"":0.7316608391608391,""estimated_latency_ms"":158.0,""estimated_carbon_gco2"":0.06149999999999999,""estimated_cost_usd"":2.2e-07,""slo_violation_risk"":false,""components"":{""latency"":0.5745454545454546,""carbon"":0.7884615384615384,""cost"":0.88,""cold_start"":1.0}}]"
2026-05-26T04:18:36.709Z,20260526T041834Z,balanced_image_processing,7,image-compress,balanced,650,True,,gcp-us-central1,gcp,0.6763030303030303,122.0,0.078,2.0000000000000002e-07,143.20359998964705,False,80.19421500011958,False,80.0,"[{""region"":""gcp-us-central1"",""provider"":""gcp"",""score"":0.6763030303030303,""estimated_latency_ms"":122.0,""estimated_carbon_gco2"":0.078,""estimated_cost_usd"":2.0000000000000002e-07,""slo_violation_risk"":false,""components"":{""latency"":0.44363636363636366,""carbon"":1.0,""cost"":0.8,""cold_start"":0.6666666666666666}},{""region"":""azure-westus"",""provider"":""azure"",""score"":0.6987878787878788,""estimated_latency_ms"":177.5,""estimated_carbon_gco2"":0.039,""estimated_cost_usd"":2.5e-07,""slo_violation_risk"":false,""components"":{""latency"":0.6454545454545455,""carbon"":0.5,""cost"":1.0,""cold_start"":0.8333333333333334}},{""region"":""aws-us-east-1"",""provider"":""aws"",""score"":0.7316608391608391,""estimated_latency_ms"":158.0,""estimated_carbon_gco2"":0.06149999999999999,""estimated_cost_usd"":2.2e-07,""slo_violation_risk"":false,""components"":{""latency"":0.5745454545454546,""carbon"":0.7884615384615384,""cost"":0.88,""cold_start"":1.0}}]"
2026-05-26T04:18:36.738Z,20260526T041834Z,balanced_image_processing,8,image-compress,balanced,650,True,,gcp-us-central1,gcp,0.6763030303030303,122.0,0.078,2.0000000000000002e-07,114.83379997662269,False,80.20659300018451,False,80.0,"[{""region"":""gcp-us-central1"",""provider"":""gcp"",""score"":0.6763030303030303,""estimated_latency_ms"":122.0,""estimated_carbon_gco2"":0.078,""estimated_cost_usd"":2.0000000000000002e-07,""slo_violation_risk"":false,""components"":{""latency"":0.44363636363636366,""carbon"":1.0,""cost"":0.8,""cold_start"":0.6666666666666666}},{""region"":""azure-westus"",""provider"":""azure"",""score"":0.6987878787878788,""estimated_latency_ms"":177.5,""estimated_carbon_gco2"":0.039,""estimated_cost_usd"":2.5e-07,""slo_violation_risk"":false,""components"":{""latency"":0.6454545454545455,""carbon"":0.5,""cost"":1.0,""cold_start"":0.8333333333333334}},{""region"":""aws-us-east-1"",""provider"":""aws"",""score"":0.7316608391608391,""estimated_latency_ms"":158.0,""estimated_carbon_gco2"":0.06149999999999999,""estimated_cost_usd"":2.2e-07,""slo_violation_risk"":false,""components"":{""latency"":0.5745454545454546,""carbon"":0.7884615384615384,""cost"":0.88,""cold_start"":1.0}}]"
2026-05-26T04:18:36.852Z,20260526T041834Z,balanced_image_processing,9,image-compress,balanced,650,True,,gcp-us-central1,gcp,0.6763030303030303,122.0,0.078,2.0000000000000002e-07,127.5690000038594,False,80.47239500046999,False,80.0,"[{""region"":""gcp-us-central1"",""provider"":""gcp"",""score"":0.6763030303030303,""estimated_latency_ms"":122.0,""estimated_carbon_gco2"":0.078,""estimated_cost_usd"":2.0000000000000002e-07,""slo_violation_risk"":false,""components"":{""latency"":0.44363636363636366,""carbon"":1.0,""cost"":0.8,""cold_start"":0.6666666666666666}},{""region"":""azure-westus"",""provider"":""azure"",""score"":0.6987878787878788,""estimated_latency_ms"":177.5,""estimated_carbon_gco2"":0.039,""estimated_cost_usd"":2.5e-07,""slo_violation_risk"":false,""components"":{""latency"":0.6454545454545455,""carbon"":0.5,""cost"":1.0,""cold_start"":0.8333333333333334}},{""region"":""aws-us-east-1"",""provider"":""aws"",""score"":0.7316608391608391,""estimated_latency_ms"":158.0,""estimated_carbon_gco2"":0.06149999999999999,""estimated_cost_usd"":2.2e-07,""slo_violation_risk"":false,""components"":{""latency"":0.5745454545454546,""carbon"":0.7884615384615384,""cost"":0.88,""cold_start"":1.0}}]"
2026-05-26T04:18:36.854Z,20260526T041834Z,balanced_image_processing,10,image-compress,balanced,650,True,,gcp-us-central1,gcp,0.6763030303030303,122.0,0.078,2.0000000000000002e-07,124.80400002095848,False,80.39081700007955,False,80.0,"[{""region"":""gcp-us-central1"",""provider"":""gcp"",""score"":0.6763030303030303,""estimated_latency_ms"":122.0,""estimated_carbon_gco2"":0.078,""estimated_cost_usd"":2.0000000000000002e-07,""slo_violation_risk"":false,""components"":{""latency"":0.44363636363636366,""carbon"":1.0,""cost"":0.8,""cold_start"":0.6666666666666666}},{""region"":""azure-westus"",""provider"":""azure"",""score"":0.6987878787878788,""estimated_latency_ms"":177.5,""estimated_carbon_gco2"":0.039,""estimated_cost_usd"":2.5e-07,""slo_violation_risk"":false,""components"":{""latency"":0.6454545454545455,""carbon"":0.5,""cost"":1.0,""cold_start"":0.8333333333333334}},{""region"":""aws-us-east-1"",""provider"":""aws"",""score"":0.7316608391608391,""estimated_latency_ms"":158.0,""estimated_carbon_gco2"":0.06149999999999999,""estimated_cost_usd"":2.2e-07,""slo_violation_risk"":false,""components"":{""latency"":0.5745454545454546,""carbon"":0.7884615384615384,""cost"":0.88,""cold_start"":1.0}}]"
